 * Serving Flask app 'apps' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on https://172.31.31.117:443/ (Press CTRL+C to quit)
148.87.23.13 - - [11/May/2023 00:29:57] "GET /index HTTP/1.1" 403 -
148.87.23.4 - - [11/May/2023 00:29:58] "GET /static/assets/css/nucleo-svg.css HTTP/1.1" 200 -
148.87.23.5 - - [11/May/2023 00:29:58] "GET /static/assets/css/soft-ui-dashboard.css?v=1.0.6 HTTP/1.1" 200 -
148.87.23.11 - - [11/May/2023 00:29:58] "GET /static/assets/css/dark-theme-core.css HTTP/1.1" 200 -
148.87.23.11 - - [11/May/2023 00:29:58] "GET /static/assets/css/nucleo-icons.css HTTP/1.1" 200 -
148.87.23.4 - - [11/May/2023 00:29:58] "GET /static/assets/js/core/popper.min.js HTTP/1.1" 200 -
148.87.23.4 - - [11/May/2023 00:29:58] "GET /static/assets/js/core/bootstrap.min.js HTTP/1.1" 200 -
148.87.23.11 - - [11/May/2023 00:29:58] "GET /static/assets/js/plugins/perfect-scrollbar.min.js HTTP/1.1" 200 -
148.87.23.11 - - [11/May/2023 00:29:58] "GET /static/assets/js/plugins/smooth-scrollbar.min.js HTTP/1.1" 200 -
148.87.23.11 - - [11/May/2023 00:29:58] "GET /static/assets/js/soft-ui-dashboard.min.js?v=1.0.6 HTTP/1.1" 200 -
148.87.23.4 - - [11/May/2023 00:29:58] "GET /static/assets/js/dark-mode-handler.js HTTP/1.1" 200 -
148.87.23.4 - - [11/May/2023 00:29:58] "GET /static/assets/img/curved-images/curved6.jpg HTTP/1.1" 200 -
148.87.23.9 - - [11/May/2023 00:29:59] "GET /static/assets/img/favicon.png HTTP/1.1" 200 -
148.87.23.4 - - [11/May/2023 00:30:00] "GET / HTTP/1.1" 302 -
148.87.23.4 - - [11/May/2023 00:30:00] "GET /login HTTP/1.1" 200 -
